PART#,"PRICE Rs.",URL,NAME
5506,0.75,https://www.sunrom.com/m/5506,"8mm Spacer for 3mm(T-1) LEDs"
5505,0.75,https://www.sunrom.com/m/5505,"7mm Spacer for 3mm(T-1) LEDs"
5504,0.75,https://www.sunrom.com/m/5504,"6mm Spacer for 3mm(T-1) LEDs"
5503,0.75,https://www.sunrom.com/m/5503,"5mm Spacer for 3mm(T-1) LEDs"
5502,0.75,https://www.sunrom.com/m/5502,"4mm Spacer for 3mm(T-1) LEDs"
5501,0.75,https://www.sunrom.com/m/5501,"3mm Spacer for 3mm(T-1) LEDs"
5481,2.45,https://www.sunrom.com/m/5481,"Fuse Holder Clip - Pitch 5.08mm - PCB Mount for 5x20mm Fuse"
5480,15.00,https://www.sunrom.com/m/5480,"Fuse Holder with Transparent Cover for 5x20mm Fuses - PCB Mount"
5478,74.00,https://www.sunrom.com/m/5478,"AC Power Inlet Socket with Indicator Switch/Fuse Holder - Screw Mount - IEC 60320 C14 - 3750W (250Vx15A)"
5405,285.00,https://www.sunrom.com/m/5405,"PCB Ruler for Quick SMD Footprint & Dimensions Query"
5486,34.00,https://www.sunrom.com/m/5486,"Switch with White LED 12x12x7.3mm"
5485,34.00,https://www.sunrom.com/m/5485,"Switch with Green LED 12x12x7.3mm"
5484,34.00,https://www.sunrom.com/m/5484,"Switch with Orange LED 12x12x7.3mm"
5483,34.00,https://www.sunrom.com/m/5483,"Switch with Blue LED 12x12x7.3mm"
5482,34.00,https://www.sunrom.com/m/5482,"Switch with Red LED 12x12x7.3mm"
5476,1.25,https://www.sunrom.com/m/5476,"White SMD LED 0603"
5475,1.25,https://www.sunrom.com/m/5475,"Orange SMD LED 0603"
5474,1.25,https://www.sunrom.com/m/5474,"Green SMD LED 0603"
5461,95.00,https://www.sunrom.com/m/5461,"LQFP100 0.65mm pitch (RTL8019 Ethernet chip) (cy7c68013) SMD Adapter PCB"
5460,55.00,https://www.sunrom.com/m/5460,"TO263-8 D2-PAK SMD Adapter PCB"
